",""word"",""pos""";Value
"284,""assured"",""Adjective""";
"285,""enduring"",""Adjective""";
"286,""expecting"",""Adjective""";
"287,""drinking"",""Adjective""";
"288,""conjugal"",""Adjective""";
"289,""easiest"",""Adjective""";
"290,""modest"",""Adjective""";
"291,""wet"",""Adjective""";
"292,""wetter"",""Adjective""";
"293,""dry"",""Adjective""";
"294,""extended"",""Adjective""";
"295,""weather"",""Adjective""";
"296,""occasional"",""Adjective""";
"297,""raised"",""Adjective""";
"298,""unable"",""Adjective""";
"299,""striking"",""Adjective""";
"300,""speedy"",""Adjective""";
"301,""undoubting"",""Adjective""";
"302,""sparing"",""Adjective""";
"303,""uppermost"",""Adjective""";
"304,""minute"",""Adjective""";
"305,""simple"",""Adjective""";
"306,""consequent"",""Adjective""";
"307,""silent"",""Adjective""";
"308,""whist"",""Adjective""";
"309,""queer"",""Adjective""";
"310,""prudish"",""Adjective""";
"311,""soft"",""Adjective""";
"312,""skin"",""Adjective""";
"313,""animate"",""Adjective""";
"314,""deep"",""Adjective""";
"315,""unsuspected"",""Adjective""";
"316,""elevated"",""Adjective""";
"317,""advised"",""Adjective""";
"318,""inseparable"",""Adjective""";
"319,""unlooked"",""Adjective""";
"320,""direct"",""Adjective""";
"321,""genuine"",""Adjective""";
"322,""unmoved"",""Adjective""";
"323,""game"",""Adjective""";
"324,""driving"",""Adjective""";
"325,""bought"",""Adjective""";
"326,""checked"",""Adjective""";
"327,""sober"",""Adjective""";
"328,""extra"",""Adjective""";
"329,""hurried"",""Adjective""";
"330,""propitious"",""Adjective""";
"331,""trusting"",""Adjective""";
"332,""blameless"",""Adjective""";
"333,""cordial"",""Adjective""";
"334,""diverting"",""Adjective""";
"335,""prettier"",""Adjective""";
"336,""insensible"",""Adjective""";
"337,""recent"",""Adjective""";
"338,""unpleasant"",""Adjective""";
"339,""bordered"",""Adjective""";
"340,""forbidden"",""Adjective""";
"341,""independent"",""Adjective""";
"342,""unconnected"",""Adjective""";
"343,""faultless"",""Adjective""";
"344,""professed"",""Adjective""";
"345,""happier"",""Adjective""";
"346,""reverse"",""Adjective""";
"347,""imaginary"",""Adjective""";
"348,""truer"",""Adjective""";
"349,""recollected"",""Adjective""";
"350,""unusual"",""Adjective""";
"351,""unprompted"",""Adjective""";
"352,""upper"",""Adjective""";
"353,""late"",""Adjective""";
"354,""surprising"",""Adjective""";
"355,""subdued"",""Adjective""";
"356,""moving"",""Adjective""";
"357,""prevailing"",""Adjective""";
"358,""knowing"",""Adjective""";
"359,""indefinite"",""Adjective""";
"360,""unspeakable"",""Adjective""";
"361,""unused"",""Adjective""";
"362,""absolute"",""Adjective""";
"363,""cold"",""Adjective""";
"364,""fraternal"",""Adjective""";
"365,""supernumerary"",""Adjective""";
"366,""departed"",""Adjective""";
"367,""unsaid"",""Adjective""";
"368,""disagreeable"",""Adjective""";
"369,""preceding"",""Adjective""";
"370,""solitary"",""Adjective""";
"371,""inconsiderable"",""Adjective""";
"372,""uninfluenced"",""Adjective""";
"373,""ineffable"",""Adjective""";
"374,""implied"",""Adjective""";
"375,""lasting"",""Adjective""";
"376,""dependent"",""Adjective""";
"377,""running"",""Adjective""";
"378,""painful"",""Adjective""";
"379,""composed"",""Adjective""";
"380,""eyed"",""Adjective""";
"381,""inarticulate"",""Adjective""";
"382,""confirmed"",""Adjective""";
"383,""discerning"",""Adjective""";
"384,""sufficient"",""Adjective""";
"385,""infinite"",""Adjective""";
"386,""willed"",""Adjective""";
"387,""improbable"",""Adjective""";
"388,""severest"",""Adjective""";
"389,""quarter"",""Adjective""";
"390,""voluntary"",""Adjective""";
"391,""stormy"",""Adjective""";
"392,""dissimilar"",""Adjective""";
"393,""expressive"",""Adjective""";
"394,""deficient"",""Adjective""";
"395,""mild"",""Adjective""";
"396,""easier"",""Adjective""";
"397,""exact"",""Adjective""";
"398,""blessed"",""Adjective""";
"399,""convincing"",""Adjective""";
"400,""unprofitable"",""Adjective""";
"401,""unpardonable"",""Adjective""";
"402,""unqualified"",""Adjective""";
"403,""abstract"",""Adjective""";
"404,""closed"",""Adjective""";
"405,""speechless"",""Adjective""";
"406,""firm"",""Adjective""";
"407,""worldly"",""Adjective""";
"408,""continual"",""Adjective""";
"409,""moderate"",""Adjective""";
"410,""instant"",""Adjective""";
"411,""wild"",""Adjective""";
"412,""connected"",""Adjective""";
"413,""dying"",""Adjective""";
"414,""secret"",""Adjective""";
"415,""wholesome"",""Adjective""";
"416,""retiring"",""Adjective""";
"417,""distant"",""Adjective""";
"418,""disordered"",""Adjective""";
"419,""wiser"",""Adjective""";
"420,""addicted"",""Adjective""";
"421,""earliest"",""Adjective""";
"422,""impartial"",""Adjective""";
"423,""finest"",""Adjective""";
"424,""expensive"",""Adjective""";
"425,""promising"",""Adjective""";
"426,""quit"",""Adjective""";
"427,""adverse"",""Adjective""";
"428,""eastward"",""Adjective""";
"429,""baby"",""Adjective""";
"430,""troublesome"",""Adjective""";
"431,""informed"",""Adjective""";
"432,""spread"",""Adjective""";
"433,""injudicious"",""Adjective""";
"434,""tolerable"",""Adjective""";
"435,""domestic"",""Adjective""";
"436,""silver"",""Adjective""";
"437,""cumbersome"",""Adjective""";
"438,""finished"",""Adjective""";
"439,""coarser"",""Adjective""";
"440,""coarse"",""Adjective""";
"441,""maternal"",""Adjective""";
"442,""chiefly"",""Adjective""";
"443,""suited"",""Adjective""";
"444,""imprudent"",""Adjective""";
"445,""foreign"",""Adjective""";
"446,""ceaseless"",""Adjective""";
"447,""loud"",""Adjective""";
"448,""underbred"",""Adjective""";
"449,""unassisted"",""Adjective""";
"450,""supine"",""Adjective""";
"451,""yielding"",""Adjective""";
"452,""indefensible"",""Adjective""";
"453,""wisest"",""Adjective""";
"454,""favoured"",""Adjective""";
"455,""unbecoming"",""Adjective""";
"456,""refer"",""Adjective""";
"457,""apt"",""Adjective""";
"458,""drawn"",""Adjective""";
"459,""junior"",""Adjective""";
"460,""slatternly"",""Adjective""";
"461,""shabby"",""Adjective""";
"462,""weekly"",""Adjective""";
"463,""blooming"",""Adjective""";
"464,""heartiest"",""Adjective""";
"465,""akin"",""Adjective""";
"466,""current"",""Adjective""";
"467,""consistent"",""Adjective""";
"468,""attentive"",""Adjective""";
"469,""profitable"",""Adjective""";
"470,""affluent"",""Adjective""";
"471,""mercenary"",""Adjective""";
"472,""upright"",""Adjective""";
"473,""consulting"",""Adjective""";
"474,""marked"",""Adjective""";
"475,""main"",""Adjective""";
"476,""wedded"",""Adjective""";
"477,""thankless"",""Adjective""";
"478,""largest"",""Adjective""";
"479,""epistolary"",""Adjective""";
"480,""patient"",""Adjective""";
"481,""consumptive"",""Adjective""";
"482,""private"",""Adjective""";
"483,""respectable"",""Adjective""";
"484,""disperse"",""Adjective""";
"485,""lamented"",""Adjective""";
"486,""ragged"",""Adjective""";
"487,""breathed"",""Adjective""";
"488,""false"",""Adjective""";
"489,""frightful"",""Adjective""";
"490,""unpunished"",""Adjective""";
"491,""reduced"",""Adjective""";
"492,""sickening"",""Adjective""";
"493,""indolent"",""Adjective""";
"494,""repulsive"",""Adjective""";-3
"495,""indigent"",""Adjective""";
"496,""shut"",""Adjective""";
"497,""guided"",""Adjective""";
"498,""acute"",""Adjective""";
"499,""tenacious"",""Adjective""";
"500,""intimate"",""Adjective""";3
"501,""unmanageable"",""Adjective""";-2
"502,""vice"",""Adjective""";
"503,""confidential"",""Adjective""";1
"504,""fly"",""Adjective""";
"505,""total"",""Adjective""";
"506,""insuperable"",""Adjective""";
"507,""officious"",""Adjective""";
"508,""unfortunate"",""Adjective""";-2
"509,""hourly"",""Adjective""";
"510,""controllable"",""Adjective""";-1
"511,""motive"",""Adjective""";
"512,""rational"",""Adjective""";2
"513,""deserving"",""Adjective""";2
"514,""mutual"",""Adjective""";
"515,""stationary"",""Adjective""";
